"KEY","CODE","DESCRIPTION","TEXT","TITLE",
"positioningElement","IfcPositioningElement","New and abstract entity definition for positioning and annotating elements that are used to position other elements relatively.EXAMPLE  A grid is a positioning element to position building components mainly in vertical structures, an alignment is a linear positioning element to position geographic and civil elements mainly in infrastructure works.
EXAMPLE  An alignment is a linear positioning element for using a linear referencing method to position other items. See ISO 19148 “Linear referencing” for general information about linear referencing methods and expressions.","positioning element","IfcPositioningElement",
"linearPositioningElement","IfcLinearPositioningElement","An IfcLinearPositioningElement is an abstract entity describing positioning according to a curve.","linear positioning element","IfcLinearPositioningElement",
"alignment","IfcAlignment","For the purposes of IFC the English term ""alignment"" defines three essentially separate but closely interconnected concepts.definition of a reference system for linear positioning
safeguarding and optimization of the movement of vehicles - kinematic perspective
geometric construction of roads, railway tracks or other linear infrastructureReference system for linear positioningAn alignment is used to define a reference system to position elements mainly for linear construction works, such as roads, rails, bridges, and others. The relative positioning along the alignment is defined by the linear referencing methodology.NOTE  See ISO 19148 Geographic information – Linear referencing for general definitions about linear referencing.Kinematic perspectiveIn the kinematic perspective focus is on the safe and optimized movement of a vehicle under the constraints induced by changes in the direction of the horizontal and the vertical layout.Geometric perspectiveIn the geometric perspective the focus is on the proper placement of horizontal and vertical segments to connect certain points along a proposed path. A huge body of knowledge has been developed over a long period of time, in many aspects predating the availability of modern computers and their software.State of the art in contemporary engineeringContemporary engineering usually establishes first a horizontal layout in a properly projected plane.


In a second step the vertical profile (i.e. sequence of segments with constant gradients  together with smoothing segments showing a variation in gradient) is added.


In the rail domain in most cases a cant layout is added to the horizontal layout to compensate a part of the unwanted lateral acceleration.


In a final step the proposed layout is checked against a defined set of rules, formulas and thresholds to guarantee the conformance against the regulation.The sequence of steps might change from case to case and might be repeated one or more times to achieve the economic objectives and fulfill regulatory safety requirements.Contemporary alignment design almost always implements a 2.5 dimension approach.The resulting and documented geometry might be very precise or just good enough to meet safety thresholds. This depends on factors like priorities of the management, date of the design - existing alignments might have been designed more then 50 years ago - or software tools used. Working with legacy data in a high precision BIM model requires a good understanding of these factors.Distinction between business modeling and IFC core geometryAccording to IFC modeling principles alignment entities are organised in two large parts. The two parts work together, but they can also be used independently from each otherBusiness aspects of alignment
Representation with the IFC geometry resourcesBusiness aspects of alignment: Here the focus is a on a schema structure as close to business terminology as possible. It is possible to have a very detailed segment structure with many domain specific properties attached. Examples for domain specific properties are design speed or cant deficiency.Representation with IFC geometry resources: Here the focus is on using as much of the established IFC geometry entities as possible. A mapping between Business aspects and IFC geometry is proposed.IFC modellingIn IFC a single alignment must have:a horizontal alignment defined in the x/y plane of the engineering coordinate systemA single alignment may have:an accompanying vertical alignment, defined along the horizontal alignment in the distance along / z coordinate space
a relative alignment, defined as a span within another alignment and/or at constant or variable offsets
a 3D alignment, either computed from the horizontal and vertical alignment, or extracted from geospatial data.Alignments may be aggregated into referents (IfcReferent) or derivative alignments. Derivative alignments may be used to indicate dependent alignments, such as an alignment for a bridge that is relative to a parent alignment for a road, where the child IfcAlignment may have its shape representation set to IfcOffsetCurveByDistances that starts and ends at a span within the extent of the shape representation of the parent IfcAlignment.Alignments may be assigned to groups using IfcRelAssignsToGroup, where IfcGroup or subtypes may capture information common to multiple alignments.Supported shape representations of IfcAlignment are:IfcGradientCurve as a 3D horizontal and vertical alignment (represented by their alignment segments)
IfcCompositeCurve as a 2D horizontal alignment (represented by its horizontal alignment segments) without a vertical alignment
IfcOffsetCurveByDistances as a 2D or 3D curve defined relative to an IfcGradientCurve or another IfcOffsetCurveByDistances
IfcSegmentedReferenceCurve as a 3D curve defined relative to an IfcGradientCurve to incorporate the application of cant
IfcPolyline or IfcIndexedPolyCurve as a 3D alignment by a 3D polyline representation (such as coming from a survey)
IfcPolyline or IfcIndexedPolyCurve as a 2D horizontal alignment by a 2D polyline representation (such as in very early planning phases or as a map representation)The RepresentationIdentifier shall always be set to 'Axis' and the RepresentationType shall be set to either 'Curve2D' or 'Curve3D' depending on if the referenced curve is 2- or 3-dimensionalNOTE  Derivative specifications (Model View Definitions) may expand the above set to include additional supported curve types.","alignment","IfcAlignment",
"linearElement","IfcLinearElement","A generalization of all linear elements that are parts of an alignment.","linear element","IfcLinearElement",
"root","IfcRoot","IfcRoot is the most abstract and root class for all entity definitions that roots in the kernel or in subsequent layers of the IFC specification. It is therefore the common supertype of all IFC entities, beside those defined in an IFC resource schema. All entities that are subtypes of IfcRoot can be used independently, whereas resource schema entities, that are not subtypes of IfcRoot, are not supposed to be independent entities.NOTE  View definitions and implementation agreement may impose additional restrictions on the use of the OwnerHistory to handle object versioning.
HISTORY  New entity in IFC1.0","root","IfcRoot",
"objectDefinition","IfcObjectDefinition","An IfcObjectDefinition is the generalization of any semantically treated thing or process, either being a type or an occurrences. Object definitions can be named, using the inherited Name attribute, which should be a user recognizable label for the object occurrence. Further explanations to the object can be given using the inherited Description attribute. A context is a specific kind of object definition as it provides the project or library context in which object types and object occurrences are defined.Objects are independent pieces of information that might contain or reference other pieces of information. There are four essential kinds of relationships in which object definitions (by their instantiable subtypes) can be involved:Assignment of other objects - an assignment relationship (IfcRelAssigns) that refers to other types of objects and creates a bi-directional association. The semantic of the assignment is established at the level of the subtypes of the general IfcRelAssigns relationship. There is no dependency implied a priori by the assignment.
Association to external resources - an association relationship (IfcRelAssociates) that refers to external sources of information (most notably a classification or document) and creates a uni-directional association. There is no dependency implied by the association.
Aggregation of other objects - an aggregation relationship (IfcRelAggregates) that establishes an unordered, spatial whole/part relation and creates a bi-directional relation. There is an implied dependency established.
Nesting of other objects - a nesting relationship (IfcRelNests) that establishes an ordered, non-spatial whole/part relation and creates a bi-directional relation. There is an implied dependency established.
Declaration within a context - a relationship (IfcRelDeclares) of the uppermost object definition within the object definition tree (e.g. the summary object within an object nesting tree) to the context (a project or project library). It applies the units, representation context and other context information to this object definition and all dependent ones.NOTE  The link between the uppermost object in the spatial structure tree, that is IfcSite or ifcBuilding, and the context provided by IfcProject is created using the IfcRelAggregates relationship. See IfcProject for more information.
HISTORY  New abstract entity in IFC2x3.","object definition","IfcObjectDefinition",
"object","IfcObject","An IfcObject is the generalization of any semantically treated thing or process. Objects are things as they appear - i.e. occurrences.NOTE  Examples of IfcObject include physically tangible items such as wall, beam or covering, physically existing items such as spaces, or conceptual items such as grids or virtual boundaries. It also stands for processes such as work tasks, for controls such as cost items, or for actors such as persons involved in the design process.Objects can be named, using the inherited Name attribute, which should be a user recognizable label for the object occurrence. Further explanations to the object can be given using the inherited Description attribute. The ObjectType attribute is used:to store the user defined value for all subtypes of IfcObject, where a PredefinedType attribute is given, and its value is set to USERDEFINED.
to provide a type information (could be seen as a very lightweight classifier) of the subtype of IfcObject, if no PredefinedType attribute is given. This is often the case, if no comprehensive list of predefined types is available.Objects are independent pieces of information that might contain or reference other pieces of information. There are several relationships in which objects can be involved:Association to external/internal resource information - an association relationship that refers to external/internal sources of information. See supertype IfcObjectDefinition for more information.
Assignment of other objects - an assignment relationship that refers to other types of objects. See supertype IfcObjectDefinition for more information.
Aggregation of other objects - an aggregation relationship that establishes a whole/part relation. Objects can either be a whole, or a part, or both. See supertype IfcObjectDefinition for more information.
Assignment of a type : IsTypedBy - a definition relationship IfcRelDefinesByType that uses a type definition to define the common characteristics of this occurrences, potentially including the common shape representation and common properties of all object occurrences assigned to this type. It is a specific - occurrence relationship with implied dependencies (as the occurrence properties depend on the properties of the type, but may override them).
Assignment of a partial type : IsDeclaredBy, Declares - a definition relationship IfcRelDefinesByObject that uses a component of a type definition (a part of a type, called the ""declaring part"") to define a component of an occurrence (part of occurrence, called the ""reflected part""). This is also referred to as a ""deep copy"". The common characteristics of all parts in the occurrence are defined by parts in the type. It is a specific - occurrence relationship with implied dependencies (as the occurrence properties depend on the properties of the type, but may override them).
Assignment of property sets : IsDefinedBy - a definition relationship IfcRelDefinesByProperties that assigns property set definitions to the object occurrence.NOTE  See IfcRelDefinesByType for an explanatory figure. Also see there for how to override type properties by occurrence properties. See IfcRelDefinesByObject for an explanatory figure for the assignment of a partial type.
HISTORY  New entity in IFC1.0","object","IfcObject",
"product","IfcProduct","The IfcProduct is an abstract representation of any object that relates to a geometric or spatial context. An IfcProduct occurs at a specific location in space if it has a geometric representation assigned. It can be placed relatively to other products, but ultimately relative to the project coordinate system. The ObjectPlacement attribute establishes the coordinate system in which all points and directions used by the geometric representation items under Representation are founded. The Representation is provided by an IfcProductDefinitionShape being either a geometric shape representation, or a topology representation (with or without underlying geometry of the topological items).Products include manufactured, supplied or created objects (referred to as elements) for incorporation into an AEC/FM project. This also includes objects that are created indirectly by other products, as spaces are defined by bounding elements. Products can be designated for permanent use or temporary use, an example for the latter is formwork. Products are defined by their properties and representations.In addition to physical products (covered by the subtype IfcElement) and spatial items (covered by the subtype IfcSpatialElement) the IfcProduct also includes non-physical items, that relate to a geometric or spatial contexts, such as grid, port, annotation, structural actions, etc.Any instance of IfcProduct defines a particular occurrence of a product, the common type information, that relates to many similar (or identical) occurrences of IfcProduct, is handled by the IfcTypeProduct (and its subtypes), assigned to one or many occurrences of IfcProduct by using the objectified relationship IfcRelDefinesByType. The IfcTypeProduct may provide, in addition to common properties, also a common geometric representation for all occurrences.NOTE  See IfcTypeProduct for how to use a common geometric representation and IfcRelDefinesByType for using and overriding common properties.On a generic level products can be assigned to processes, controls, resources, project by using the relationship objects that refer to the corresponding object:Having a control applied: assigned using IfcRelAssignsToControl linking the IfcProduct to an IfcControl
Being assigned to a process: assigned using IfcRelAssignsToProcess linking the IfcProduct to an IfcProcess
Being assigned to a resource: assigned using IfcRelAssignsToResource linking the IfcProduct to an IfcResourceEXAMPLE  An example of the control relationship is the assignment of a performance history to a distribution element. An example of process assignment relationship is the assignment of products like wall, slab, column to a construction task for construction planning. And an example of resource assignment relationship is the assignment of products to a construction resource that consumes the product.
HISTORY  New entity in IFC1.0","product","IfcProduct",
"element","IfcElement","An element is a generalization of all components that make up an AEC product.Elements are physically existent objects, although they might be void elements, such as holes. Elements either remain permanently in the AEC product, or only temporarily, as formwork does. Elements can be either assembled on site or pre-manufactured and built in on site.EXAMPLE  Examples of elements in a building construction context are walls, floors, windows and recesses.The elements can be logically contained by a spatial structure element that constitutes a certain level within a project structure hierarchy (site, building, storey or space). This is done by using the IfcRelContainedInSpatialStructure relationship. An element can have material and quantity information assigned through the IfcRelAssociatesMaterial and IfcRelDefinesByProperties relationship.In addition an element can be declared to be a specific occurrence of an element type (and thereby be defined by the element type properties) using the IfcRelDefinesByType relationship. An element can also be defined as an element assembly that is a group of semantically and topologically related elements that form a higher level part of the AEC product. Those element assemblies are defined by virtue of the IfcRelAggregates relationship.EXAMPLE  Examples for element assembly are complete Roof Structures, made by several Roof Areas, or a Stair, composed by Flights and Landings.Elements that performs the same function may be grouped by an ""Element Group By Function"". It is realized by an instance of IfcGroup with the ObjectType ='ElementGroupByFunction'.HISTORY  New entity in IFC1.0","element","IfcElement",
"distributionElement","IfcDistributionElement","This IfcDistributionElement is a generalization of all elements that participate in a distribution system. Typical examples of IfcDistributionElement's are (among others):building service elements within a heating systems
building service elements within a cooling system
building service elements within a ventilation system
building service elements within a plumbing system
building service elements within a drainage system
electrical elements
elements within a communication network
within a sensor (monitoring) networkThe IfcDistributionElement is further specialized in the IFC specification. Direct instantiation of IfcDistributionElement without an assigned subtype of IfcDistributionElementType provides the meaning of an distribution element proxy.HISTORY  New entity in IFC1.5.","distribution element","IfcDistributionElement",
