"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"exitway","Exitway","""All parts of an escape route protected by fire or smoke separations, or by distance when exposed to open air, and terminating at a final exit.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","exitway",490,
"escapeHeight","Escape height","The height between the floor level in the firecell being considered and the floor level of the required final exit which is the greatest vertical distance above or below that firecell.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","escape height",491,
"earlyChildhoodCentreEcc","Early childhood centre (ECC)","""means premises used regularly for the education or care of 3 or more children (not being children of the persons providing the education or care, or children enrolled at a school being provided with education or care before or after school) under the age of six-- a)by the day or part of a day; but b)not for any continuous period of more than seven days. ECC does not include home based early childhood services.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","early childhood centre ecc",492,
"doorset","Doorset","""A complete assembly comprising a door leaf or leaves including any glazed or solid panels adjacent to or over the leaves within the door frame including hardware or other inbuilt features; and a door frame, if any, with its fixings to the wall and, for a sliding or tilting door, all guides and their respective fixings to the lintel, wall or sill.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","doorset",493,
"deadEnd","Dead end","That part of an open path where escape is possible in only one direction.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","dead end",494,
"damperBlade","Damper blade","A component of a fire damper that closes off the airway within a fire damper upon detection of fire or smoke.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","damper blade",495,
"construct","Construct","""in relation to a building, includes to design, build, erect, prefabricate, and relocate the building; and construction has a corresponding meaning.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","construct",496,
"escapeRoute","Escape route","""A continuous unobstructed route from any occupied space in a building to a final exit to enable occupants to reach a safe place, and shall comprise one or more of the following: open paths and safe paths.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","escape route",497,
"concealedSpace","Concealed space","Any part of the space within a building that cannot be seen from an occupied space.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","concealed space",498,
"combustible","Combustible","See non-combustible.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","combustible",499,
"chimneyJambs","Chimney jambs","The side walls of a fireplace.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","chimney jambs",500,
"chimneyBreast","Chimney breast","The front fireplace wall construction above the fireplace opening.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","chimney breast",501,
"chimneyBack","Chimney back","The non-combustible wall forming the back of a fireplace.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","chimney back",502,
"chimney","Chimney","""A non-combustible structure which encloses one or more flues, fireplaces or other heating appliances.""",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","chimney",503,
"cavityBarrier","Cavity barrier","""A construction provided to close openings within a concealed space against the passage of fire, or to restrict the spread of fire within such spaces.""",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","cavity barrier",504,
"buildingHeight","Building height","""Building height means the vertical distance between the floor level of the lowest occupied space above the ground and the top of the highest occupied floor, but not including spaces located within or on the roof that enclose stairways, lift shafts, or machinery rooms.""",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","building height",505,
"buildingElement","Building element","""Any structural and non-structural component or assembly incorporated into or associated with a building. Included are fixtures, services, drains, permanent mechanical installations for access, glazing, partitions, ceilings and temporary supports.""",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","building element",506,
"buildingConsentAuthority","Building consent authority","has the meaning ascribed to it by section 7 of the Building Act 2004.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","building consent authority",507,
"buildingConsent","Building consent","means consent to carry out building work granted by a building consent authority under section 49 of the Building Act 2004.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","building consent",508,
"buildingCode","Building Code","means the regulations made under section 400 of the Building Act 2004.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","building code",509,
"boundary","Boundary","""means any boundary that is shown on a survey plan that is approved by the Surveyor-General and deposited with the Registrar-General of Land, whether or not a new title has been issued.""",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","boundary",510,
"basement","Basement","Any firecell or part of a firecell below the level of the lowest final exit.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","basement",511,
"adjacentBuilding","Adjacent building","""A nearby building, including an adjoining building, whether or not erected on other property.""",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","adjacent building",512,
"building","Building","has the meaning given to it by sections 8 and 9 of the Building Act 2004.",2019-03-24 09:25:00.000000000,"NZBC-C/AS3","building",513,
"publication","publication","LRMl Editor - ",2023-03-07 23:41:07.012860000,"NZ_NZBC-B2AS1#2.10","publication",2515,
"fireSafetyRequirements","fireSafetyRequirements","LRMl Editor - ",2023-03-08 04:51:57.001888000,"NZ_NZBC-CAS2#1.1","fire safety requirements",2520,
"fireResistanceRating","fireResistanceRating","LRMl Editor - Stefan",2023-03-08 20:58:36.125218000,"NZ_NZBC-CAS2#1.1","fire resistance rating",2541,
"permitted","permitted","LRMl Editor - Stefan",2023-03-09 03:49:30.505848000,"NZ_NZBC-D1AS1#2.6","permitted",2546,
"site","site","LRMl Editor - Stefan",2023-03-09 05:18:39.735938000,"NZ_NZBC-E1AS1#1.10","site",2548,
"downpipe","downpipe","LRMl Editor - ",2023-03-09 21:12:36.787694000,"NZ_NZBC-E1AS1#1.10","downpipe",2569,
"aluminium","aluminium","LRMl Editor - ",2023-03-18 05:53:43.378992000,"NZ_NZBC-E2AS1#3.8","aluminium",2761,
"neopreneWasher","neopreneWasher","LRMl Editor - ",2023-03-18 06:36:34.535922000,"NZ_NZBC-E2AS1#3.8","neoprene washer",2763,
"sealingWasher","sealingWasher","LRMl Editor - ",2023-03-18 20:21:37.533182000,"NZ_NZBC-E2AS1#3.8","sealing washer",2767,
"windZone","windZone","LRMl Editor - Stefan",2023-03-18 22:16:34.554843000,"NZ_NZBC-E2AS1#3.8","wind zone",2770,
"lowerEnd","lowerEnd","LRMl Editor - Stefan",2023-03-18 22:26:10.730230000,"NZ_NZBC-E2AS1#3.8","lower end",2772,
"fixingPattern","fixingPattern","LRMl Editor - Stefan",2023-03-19 01:11:48.533201000,"NZ_NZBC-E2AS1#3.8","fixing pattern",2778,
"substrate","substrate","LRMl Editor - Stefan",2023-03-19 02:24:08.283021000,"NZ_NZBC-E2AS1#3.8","substrate",2783,
"workmanship","workmanship","LRMl Editor - Stefan",2023-03-20 03:15:00.008136000,"NZ_NZBC-E2AS1#3.8","workmanship",2802,
"hexWasherFace","hexWasherFace","LRMl Editor - Stefan",2023-03-20 03:54:20.645289000,"NZ_NZBC-E2AS1#3.8","hex washer face",2803,
"embedment","embedment","LRMl Editor - Stefan",2023-03-20 03:55:10.738494000,"NZ_NZBC-E2AS1#3.8","embedment",2804,
"sheet","sheet","LRMl Editor - Stefan",2023-03-20 04:38:43.961817000,"NZ_NZBC-E2AS1#3.8","sheet",2805,
"fibreCement","fibreCement","LRMl Editor - Stefan",2023-03-20 04:38:47.772887000,"NZ_NZBC-E2AS1#3.8","fibre cement",2806,
"board","board","LRMl Editor - Stefan",2023-03-21 00:26:57.548920000,"NZ_NZBC-E2AS1#3.8","board",2825,
"glass","glass","LRMl Editor - Stefan",2023-03-23 02:40:53.518801000,"NZ_NZBC-B1AS1#0.17","glass",2849,
"applicationArea","applicationArea","LRMl Editor - Stefan",2023-03-23 03:11:53.554830000,"NZ_NZBC-B1AS1#0.17","application area",2854,
"manufacturerRequirement","manufacturerRequirement","LRMl Editor - ",2023-03-23 22:09:16.314722000,"NZ_NZBC-B1AS1#0.17","manufacturer requirement",2861,
"crossWire","crossWire","LRMl Editor - ",2023-03-23 22:09:25.159107000,"NZ_NZBC-B1AS1#0.17","cross wire",2862,
"buildingPaper","buildingPaper","LRMl Editor - ",2023-03-23 22:30:46.588930000,"NZ_NZBC-B1AS1#0.17","building paper",2863,
"uStrap","uStrap","LRMl Editor - ",2023-03-23 22:41:26.997619000,"NZ_NZBC-B1AS3#0.17","u strap",2866,
"operatingTemperature","operatingTemperature","LRMl Editor - ",2023-03-23 23:13:08.056203000,"NZ_NZBC-B1AS3#0.17","operating temperature",2869,
"force","force","LRMl Editor - ",2023-03-23 23:19:12.046260000,"NZ_NZBC-B1AS3#0.17","force",2872,
"shortening","shortening","LRMl Editor - ",2023-03-23 23:22:12.873133000,"NZ_NZBC-B1AS3#0.17","shortening",2873,
"loadResistance","loadResistance","LRMl Editor - ",2023-03-23 23:29:36.162289000,"NZ_NZBC-B1AS3#0.17","load resistance",2876,
"aggregate","aggregate","LRMl Editor - Stefan",2023-03-23 23:55:42.380227000,"NZ_NZBC-B1AS3#0.17","aggregate",2877,
"volume","volume","LRMl Editor - Stefan",2023-03-24 00:07:01.448267000,"NZ_NZBC-B1AS3#0.17","volume",2880,
"cement","cement","LRMl Editor - Stefan",2023-03-24 00:07:03.763270000,"NZ_NZBC-B1AS3#0.17","cement",2881,
"compressiveStrength","compressiveStrength","LRMl Editor - Stefan",2023-03-24 00:11:10.705471000,"NZ_NZBC-B1AS3#0.17","compressive strength",2884,
"mortar","mortar","LRMl Editor - Stefan",2023-03-24 00:23:29.478854000,"NZ_NZBC-B1AS3#0.17","mortar",2885,
"bracing","bracing","LRMl Editor - Stefan",2023-03-24 00:42:15.948299000,"NZ_NZBC-B1AS3#0.17","bracing",2887,
"mesh","mesh","LRMl Editor - Stefan",2023-03-24 01:05:55.218336000,"NZ_NZBC-B1AS3#0.17","mesh",2889,
"way","way","LRMl Editor - Stefan",2023-03-24 01:10:43.943727000,"NZ_NZBC-B1AS3#0.17","way",2890,
"crossSeam","crossSeam","LRMl Editor - ",2023-03-25 22:40:03.729882000,"NZ_NZBC-E2AS1#3.8","cross seam",2901,
"raisedSurface","raisedSurface","LRMl Editor - ",2023-03-25 22:42:19.341169000,"NZ_NZBC-E2AS1#3.8","raised surface",2902,
"offset","offset","LRMl Editor - ",2023-03-25 23:17:41.895716000,"NZ_NZBC-E2AS1#3.8","offset",2904,
"conditionOfUse","conditionOfUse","LRMl Editor - ",2023-03-07 23:41:20.447703000,"NZ_NZBC-B2AS1#2.10","condition of use",2517,
"route","route","LRMl Editor - Stefan",2023-03-08 22:52:50.592638000,"NZ_NZBC-D1AS1#2.6","route",2544,
"rainfallIntensity","rainfallIntensity","LRMl Editor - ",2023-03-09 20:39:43.076095000,"NZ_NZBC-E1AS1#1.10","rainfall intensity",2563,
"expansionJoint","expansionJoint","LRMl Editor - Stefan",2023-03-14 02:01:04.785475000,"NZ_NZBC-E2AS1#3.8","expansion joint",2634,
"deck","deck","LRMl Editor - Stefan",2023-03-16 22:57:03.553106000,"NZ_NZBC-E2AS1#3.8","deck",2684,
"clipSystem","clipSystem","LRMl Editor - ",2023-03-17 02:02:09.346812000,"NZ_NZBC-E2AS1#3.8","clip system",2697,
"corrosionZone","corrosionZone","LRMl Editor - ",2023-03-17 03:12:31.650501000,"NZ_NZBC-E2AS1#3.8","corrosion zone",2702,
"topEnd","topEnd","LRMl Editor - Stefan",2023-03-18 22:16:37.397448000,"NZ_NZBC-E2AS1#3.8","top end",2771,
"paint","paint","LRMl Editor - Stefan",2023-03-20 20:28:10.122875000,"NZ_NZBC-E2AS1#3.8","paint",2822,
"strip","strip","LRMl Editor - Stefan",2023-03-21 00:32:11.718661000,"NZ_NZBC-E2AS1#3.8","strip",2826,
"immersion","immersion","LRMl Editor - Stefan",2023-03-22 07:14:32.746823000,"NZ_NZBC-E2AS1#3.8","immersion",2842,
"restriction","restriction","LRMl Editor - Stefan",2023-03-22 08:01:05.786838000,"NZ_NZBC-E2AS1#3.8","restriction",2844,
"maximumOccupantLoad","maximumOccupantLoad","LRMl Editor - Stefan",2023-03-22 08:45:53.145145000,"NZ_NZBC-CAS2#1.1","maximum occupant load",2847,
"cleaning","cleaning","LRMl Editor - ",2023-03-26 02:48:50.574471000,"NZ_NZBC-B2AS1#2.10","cleaning",2914,
"fireAlarmSystem","fireAlarmSystem","LRMl Editor - Stefan",2023-03-08 08:32:33.836898000,"NZ_NZBC-CAS2#1.1","fire alarm system",2522,
"dimension","dimension","LRMl Editor - ",2023-03-10 01:03:59.645560000,"NZ_NZBC-E1AS1#1.10","dimension",2572,
"settlement","settlement","LRMl Editor - ",2023-03-10 01:10:12.663462000,"NZ_NZBC-E1AS1#1.10","settlement",2573,
"chamber","chamber","LRMl Editor - ",2023-03-10 01:32:40.307641000,"NZ_NZBC-E1AS1#1.10","chamber",2575,
"inlet","inlet","LRMl Editor - ",2023-03-10 02:30:52.145688000,"NZ_NZBC-E1AS1#1.10","inlet",2576,
"antiScourBlocks","antiScourBlocks","LRMl Editor - ",2023-03-10 03:36:13.547352000,"NZ_NZBC-E1AS1#1.10","anti scour blocks",2577,
"thermalExpansion","thermalExpansion","LRMl Editor - Stefan",2023-03-12 21:57:43.668800000,"NZ_NZBC-E1AS1#1.10","thermal expansion",2603,
"roofGutter","roofGutter","LRMl Editor - Stefan",2023-03-12 22:11:21.025674000,"NZ_NZBC-E1AS1#1.10","roof gutter",2606,
"rivet","rivet","LRMl Editor - ",2023-03-15 05:17:05.642625000,"NZ_NZBC-E2AS1#3.8","rivet",2643,
"seal","seal","LRMl Editor - ",2023-03-15 05:25:01.363346000,"NZ_NZBC-E2AS1#3.8","seal",2645,
"profiledMetal","profiledMetal","LRMl Editor - ",2023-03-16 01:08:27.044896000,"NZ_NZBC-E2AS1#3.8","profiled metal",2649,
"gap","gap","LRMl Editor - ",2023-03-16 01:40:16.439205000,"NZ_NZBC-E2AS1#3.8","gap",2653,
"eave","eave","LRMl Editor - ",2023-03-16 20:33:39.813614000,"NZ_NZBC-E2AS1#3.8","eave",2666,
"soffitLining","soffitLining","LRMl Editor - Stefan",2023-03-16 20:54:30.855288000,"NZ_NZBC-E2AS1#3.8","soffit lining",2669,
"enclosing","enclosing","LRMl Editor - Stefan",2023-03-16 20:54:47.158222000,"NZ_NZBC-E2AS1#3.8","enclosing",2670,
"h3Plywood","h3Plywood","LRMl Editor - Stefan",2023-03-16 20:54:51.317288000,"NZ_NZBC-E2AS1#3.8","h 3plywood",2671,
"finish","finish","LRMl Editor - Stefan",2023-03-16 20:56:16.417249000,"NZ_NZBC-E2AS1#3.8","finish",2672,
"framing","framing","LRMl Editor - Stefan",2023-03-16 22:20:24.392124000,"NZ_NZBC-E2AS1#3.8","framing",2677,
"timber","timber","LRMl Editor - Stefan",2023-03-16 22:22:45.327654000,"NZ_NZBC-E2AS1#3.8","timber",2679,
"slat","slat","LRMl Editor - Stefan",2023-03-16 23:04:45.820818000,"NZ_NZBC-E2AS1#3.8","slat",2686,
"underlay","underlay","LRMl Editor - ",2023-03-17 00:00:27.147020000,"NZ_NZBC-E2AS1#3.8","underlay",2688,
"catchmentArea","catchmentArea","LRMl Editor - ",2023-03-17 01:20:05.136694000,"NZ_NZBC-E2AS1#3.8","catchment area",2694,
"upperEnd","upperEnd","LRMl Editor - ",2023-03-17 02:01:06.844555000,"NZ_NZBC-E2AS1#3.8","upper end",2696,
"stainlessSteel","stainlessSteel","LRMl Editor - ",2023-03-17 03:14:48.942689000,"NZ_NZBC-E2AS1#3.8","stainless steel",2703,
"factoryAppliedFinish","factoryAppliedFinish","LRMl Editor - ",2023-03-18 05:47:45.810798000,"NZ_NZBC-E2AS1#3.8","factory applied finish",2743,
"baseMetalThickness","baseMetalThickness","LRMl Editor - ",2023-03-18 05:53:52.066432000,"NZ_NZBC-E2AS1#3.8","base metal thickness",2744,
"supply","supply","LRMl Editor - ",2023-03-18 06:56:45.036068000,"NZ_NZBC-E2AS1#3.8","supply",2766,
"mass","mass","LRMl Editor - Stefan",2023-03-20 03:14:53.506834000,"NZ_NZBC-E2AS1#3.8","mass",2801,
"grout","grout","LRMl Editor - ",2023-03-23 22:48:27.435339000,"NZ_NZBC-B1AS3#0.17","grout",2867,
"compressiveResistance","compressiveResistance","LRMl Editor - ",2023-03-23 23:19:09.720543000,"NZ_NZBC-B1AS3#0.17","compressive resistance",2871,
"elongating","elongating","LRMl Editor - ",2023-03-23 23:29:32.838598000,"NZ_NZBC-B1AS3#0.17","elongating",2875,
"bed","bed","LRMl Editor - ",2023-03-24 01:58:26.615500000,"NZ_NZBC-CAS2#1.1","bed",2892,
"repairing","repairing","LRMl Editor - ",2023-03-26 02:24:38.854517000,"NZ_NZBC-E2AS1#3.8","repairing",2909,
"intersection","intersection","LRMl Editor - Stefan",2023-03-26 03:14:34.454602000,"NZ_NZBC-E2AS1#3.8","intersection",2918,
"collection","collection","LRMl Editor - ",2023-04-03 11:39:17.713811000,"NZ_NZBC-G14VM1#2.6","collection",2921,
"reinforcingDuct","reinforcingDuct","LRMl Editor - ",2023-03-07 20:14:41.044778000,"NZ_NZBC-B1AS3#0.17","reinforcing duct",2503,
"fencingStaple","fencingStaple","LRMl Editor - ",2023-03-07 20:14:41.221740000,"NZ_NZBC-B1AS3#0.17","fencing staple",2504,
"wallTie","wallTie","LRMl Editor - ",2023-03-07 20:58:22.144645000,"NZ_NZBC-B1AS3#0.17","wall tie",2508,
"placement","placement","LRMl Editor - ",2023-03-07 21:43:58.884007000,"NZ_NZBC-B1AS3#0.17","placement",2512,
"insulatedGlassUnit","insulatedGlassUnit","LRMl Editor - ",2023-03-08 00:18:19.727865000,"NZ_NZBC-B2AS1#2.10","insulated glass unit",2519,
"ground","ground","LRMl Editor - Stefan",2023-03-09 05:05:13.430672000,"NZ_NZBC-E1AS1#1.10","ground",2547,
"spacing","spacing","LRMl Editor - ",2023-03-11 23:54:06.839066000,"NZ_NZBC-E1AS1#1.10","spacing",2581,
"granularBedding","granularBedding","LRMl Editor - ",2023-03-12 21:29:55.783239000,"NZ_NZBC-E1AS1#1.10","granular bedding",2601,
"layer","layer","LRMl Editor - ",2023-03-12 21:30:19.535129000,"NZ_NZBC-E1AS1#1.10","layer",2602,
"guttering","guttering","LRMl Editor - Stefan",2023-03-12 22:01:31.655883000,"NZ_NZBC-E1AS1#1.10","guttering",2605,
"overflowOutlet","overflowOutlet","LRMl Editor - Stefan",2023-03-12 22:17:39.723439000,"NZ_NZBC-E1AS1#1.10","overflow outlet",2608,
"siteDevelopment","siteDevelopment","LRMl Editor - Stefan",2023-03-12 22:22:30.083586000,"NZ_NZBC-E1AS1#1.10","site development",2609,
"reflectivity","reflectivity","LRMl Editor - ",2023-03-13 20:35:11.329834000,"NZ_NZBC-E2AS1#3.8","reflectivity",2621,
"fibreCementSheet","fibreCementSheet","LRMl Editor - ",2023-03-13 20:35:37.319868000,"NZ_NZBC-E2AS1#3.8","fibre cement sheet",2623,
"eifs","eifs","LRMl Editor - ",2023-03-13 20:35:41.319919000,"NZ_NZBC-E2AS1#3.8","eifs",2624,
"upstand","upstand","LRMl Editor - ",2023-03-15 04:54:48.966529000,"NZ_NZBC-E2AS1#3.8","upstand",2641,
"sealing","sealing","LRMl Editor - ",2023-03-15 05:34:15.977791000,"NZ_NZBC-E2AS1#3.8","sealing",2646,
"fullEnclosing","fullEnclosing","LRMl Editor - Stefan",2023-03-16 22:20:21.568356000,"NZ_NZBC-E2AS1#3.8","full enclosing",2676,
"slopedPacker","slopedPacker","LRMl Editor - Stefan",2023-03-16 22:22:48.539568000,"NZ_NZBC-E2AS1#3.8","sloped packer",2680,
"masonryTile","masonryTile","LRMl Editor - ",2023-03-17 00:12:43.883086000,"NZ_NZBC-E2AS1#3.8","masonry tile",2689,
"tile","tile","LRMl Editor - ",2023-03-17 02:52:28.485278000,"NZ_NZBC-E2AS1#3.8","tile",2698,
"pattern","pattern","LRMl Editor - ",2023-03-17 03:05:58.395138000,"NZ_NZBC-E2AS1#3.8","pattern",2699,
"nail","nail","LRMl Editor - ",2023-03-17 03:06:24.010843000,"NZ_NZBC-E2AS1#3.8","nail",2700,
"antiPondingBoard","antiPondingBoard","LRMl Editor - ",2023-03-18 00:59:16.803942000,"NZ_NZBC-E2AS1#3.8","anti ponding board",2721,
"manufacturer","manufacturer","LRMl Editor - ",2023-03-18 06:56:33.540367000,"NZ_NZBC-E2AS1#3.8","manufacturer",2765,
"profiledWasher","profiledWasher","LRMl Editor - ",2023-03-18 20:30:55.012194000,"NZ_NZBC-E2AS1#3.8","profiled washer",2769,
"post","post","LRMl Editor - ",2023-03-19 07:36:58.704106000,"NZ_NZBC-E2AS1#3.8","post",2789,
"floorSlab","floorSlab","LRMl Editor - ",2023-03-19 08:34:56.412065000,"NZ_NZBC-E2AS1#3.8","floor slab",2791,
"backFace","backFace","LRMl Editor - Stefan",2023-03-20 20:28:07.784884000,"NZ_NZBC-E2AS1#3.8","back face",2821,
"physicalTesting","physicalTesting","LRMl Editor - Stefan",2023-03-23 03:05:02.004693000,"NZ_NZBC-B1AS1#0.17","physical testing",2852,
"load","load","LRMl Editor - Stefan",2023-03-23 03:11:51.352790000,"NZ_NZBC-B1AS1#0.17","load",2853,
"applicationDuration","applicationDuration","LRMl Editor - Stefan",2023-03-23 03:11:55.805108000,"NZ_NZBC-B1AS1#0.17","application duration",2855,
"restraint","restraint","LRMl Editor - ",2023-03-23 22:41:12.333412000,"NZ_NZBC-B1AS3#0.17","restraint",2865,
"hole","hole","LRMl Editor - ",2023-03-23 23:00:06.528944000,"NZ_NZBC-B1AS3#0.17","hole",2868,
"mix","mix","LRMl Editor - Stefan",2023-03-24 00:08:51.716428000,"NZ_NZBC-B1AS3#0.17","mix",2883,
"duct","duct","LRMl Editor - Stefan",2023-03-24 00:25:30.588370000,"NZ_NZBC-B1AS3#0.17","duct",2886,
"levelAccess","levelAccess","LRMl Editor - ",2023-03-25 22:42:22.025968000,"NZ_NZBC-E2AS1#3.8","level access",2903,
"washing","washing","LRMl Editor - ",2023-03-26 02:24:33.750161000,"NZ_NZBC-E2AS1#3.8","washing",2907,
"inspecting","inspecting","LRMl Editor - ",2023-03-26 02:24:36.362597000,"NZ_NZBC-E2AS1#3.8","inspecting",2908,
"maintaining","maintaining","LRMl Editor - ",2023-03-26 02:27:07.487633000,"NZ_NZBC-E2AS1#3.8","maintaining",2912,
"sign","sign","LRMl Editor - ",2023-03-26 02:50:24.785298000,"NZ_NZBC-B2AS1#2.10","sign",2915,
"servicing","servicing","LRMl Editor - ",2023-03-26 02:57:06.994508000,"NZ_NZBC-B2AS1#2.10","servicing",2916,
"riskMatrix","riskMatrix","LRMl Editor - ",2023-03-26 03:01:13.205686000,"NZ_NZBC-E2AS1#3.8","risk matrix",2917,
"hook","hook","LRMl Editor - ",2023-03-07 20:14:41.358821000,"NZ_NZBC-B1AS3#0.17","hook",2505,
"side","side","LRMl Editor - ",2023-03-07 20:58:37.217994000,"NZ_NZBC-B1AS3#0.17","side",2509,
"reinforcedConcrete","reinforcedConcrete","LRMl Editor - ",2023-03-07 21:22:36.088749000,"NZ_NZBC-B1AS3#0.17","reinforced concrete",2510,
"preformedDuct","preformedDuct","LRMl Editor - ",2023-03-07 21:44:20.627542000,"NZ_NZBC-B1AS3#0.17","preformed duct",2513,
"appliance","appliance","LRMl Editor - ",2023-03-07 22:40:32.992695000,"NZ_NZBC-B1AS3#0.17","appliance",2514,
"reference","reference","LRMl Editor - ",2023-03-07 23:41:43.604921000,"NZ_NZBC-B2AS1#2.10","reference",2518,
"singleIsolatedStep","singleIsolatedStep","LRMl Editor - Stefan",2023-03-09 03:47:02.740584000,"NZ_NZBC-D1AS1#2.6","single isolated step",2545,
"pavedArea","pavedArea","LRMl Editor - ",2023-03-09 20:39:42.992808000,"NZ_NZBC-E1AS1#1.10","paved area",2562,
"smallChange","smallChange","LRMl Editor - ",2023-03-09 20:51:06.821728000,"NZ_NZBC-E1AS1#1.10","small change",2568,
"garage","garage","LRMl Editor - ",2023-03-13 07:46:41.186735000,"NZ_NZBC-E2AS1#3.8","garage",2611,
"product","product","LRMl Editor - ",2023-03-13 08:56:24.582409000,"NZ_NZBC-E2AS1#3.8","product",2614,
"moistureContent","moistureContent","LRMl Editor - ",2023-03-13 09:10:09.332152000,"NZ_NZBC-E2AS1#3.8","moisture content",2617,
"measurementTime","measurementTime","LRMl Editor - ",2023-03-13 09:10:09.488224000,"NZ_NZBC-E2AS1#3.8","measurement time",2618,
"exteriorJoinery","exteriorJoinery","LRMl Editor - ",2023-03-13 09:13:02.063100000,"NZ_NZBC-E2AS1#3.8","exterior joinery",2619,
"wood","wood","LRMl Editor - ",2023-03-13 09:15:56.043922000,"NZ_NZBC-E2AS1#3.8","wood",2620,
"finishColour","finishColour","LRMl Editor - ",2023-03-13 20:35:37.180755000,"NZ_NZBC-E2AS1#3.8","finish colour",2622,
"hem","hem","LRMl Editor - ",2023-03-15 04:54:51.463211000,"NZ_NZBC-E2AS1#3.8","hem",2642,
"join","join","LRMl Editor - ",2023-03-15 05:17:12.093135000,"NZ_NZBC-E2AS1#3.8","join",2644,
"continuousLength","continuousLength","LRMl Editor - Stefan",2023-03-16 00:13:16.357809000,"NZ_NZBC-E2AS1#3.8","continuous length",2647,
"lap","lap","LRMl Editor - ",2023-03-16 00:35:58.666459000,"NZ_NZBC-E2AS1#3.8","lap",2648,
"turnDown","turnDown","LRMl Editor - ",2023-03-16 01:23:53.212011000,"NZ_NZBC-E2AS1#3.8","turn down",2650,
"ribHeight","ribHeight","LRMl Editor - ",2023-03-16 01:28:14.328282000,"NZ_NZBC-E2AS1#3.8","rib height",2651,
"ribCentres","ribCentres","LRMl Editor - ",2023-03-16 01:28:20.478774000,"NZ_NZBC-E2AS1#3.8","rib centres",2652,
"metalRoofing","metalRoofing","LRMl Editor - ",2023-03-16 02:07:33.145088000,"NZ_NZBC-E2AS1#3.8","metal roofing",2654,
"crest","crest","LRMl Editor - ",2023-03-16 02:26:28.922714000,"NZ_NZBC-E2AS1#3.8","crest",2655,
"clearance","clearance","LRMl Editor - ",2023-03-16 02:32:25.705610000,"NZ_NZBC-E2AS1#3.8","clearance",2656,
"overlapCover","overlapCover","LRMl Editor - ",2023-03-16 19:14:30.366360000,"NZ_NZBC-E2AS1#3.8","overlap cover",2661,
"barge","barge","LRMl Editor - ",2023-03-16 19:33:42.516388000,"NZ_NZBC-E2AS1#3.8","barge",2662,
"dripEdge","dripEdge","LRMl Editor - ",2023-03-16 19:35:16.759367000,"NZ_NZBC-E2AS1#3.8","drip edge",2663,
"kickOut","kickOut","LRMl Editor - ",2023-03-16 20:27:29.707311000,"NZ_NZBC-E2AS1#3.8","kick out",2664,
"stopend","stopend","LRMl Editor - ",2023-03-16 20:27:31.784889000,"NZ_NZBC-E2AS1#3.8","stopend",2665,
"termination","termination","LRMl Editor - ",2023-03-16 20:34:03.744912000,"NZ_NZBC-E2AS1#3.8","termination",2667,
"fascia","fascia","LRMl Editor - ",2023-03-16 20:41:48.086491000,"NZ_NZBC-E2AS1#3.8","fascia",2668,
"drainedCavity","drainedCavity","LRMl Editor - Stefan",2023-03-16 21:05:29.212619000,"NZ_NZBC-E2AS1#3.8","drained cavity",2673,
"steel","steel","LRMl Editor - Stefan",2023-03-16 21:07:00.032514000,"NZ_NZBC-E2AS1#3.8","steel",2674,
"masonryTiles","masonryTiles","LRMl Editor - ",2023-03-18 02:15:44.730271000,"NZ_NZBC-E2AS1#3.8","masonry tiles",2722,
"corrosionProtection","corrosionProtection","LRMl Editor - ",2023-03-18 05:43:02.455656000,"NZ_NZBC-E2AS1#3.8","corrosion protection",2741,
"paintCoating","paintCoating","LRMl Editor - ",2023-03-18 05:47:42.146708000,"NZ_NZBC-E2AS1#3.8","paint coating",2742,
"angle","angle","LRMl Editor - Stefan",2023-03-18 22:27:54.294912000,"NZ_NZBC-E2AS1#3.8","angle",2773,
"pan","pan","LRMl Editor - Stefan",2023-03-18 23:43:01.252385000,"NZ_NZBC-E2AS1#3.8","pan",2776,
"span","span","LRMl Editor - Stefan",2023-03-19 01:11:52.087919000,"NZ_NZBC-E2AS1#3.8","span",2779,
