"LRML_ID","TEXT","LRML","UPDATED_AT","ID","PARAPHRASE","COMMENTS","AUTHOR",
29,"1.2.3 Depending on the particular building and the uses or activities within that building, there may be several primary risk groups, with one or more on each floor.","if(has(building, primaryRiskGroup)), then(permission(greaterThan(count(primaryRiskGroup), 1)))",2023-02-06 22:42:30.925974000,29,"","","",
30,"2.3 Fire resistance ratings 2.3.6 Floors shall have an FRR for exposure from the underside.","if(is(building.element, floor)), then(obligation(has(undersideOf(floor), fireResistanceRating)))",2023-02-06 22:42:30.925974000,30,"","","",
31,"2.3 Fire resistance ratings 2.3.7 The FRR of a primary element integral with a fire separation shall be no less than that of the fire separation.","if(and(is(building.element, primary), integralWith(building.element, fireSeparation), define(fireSeparation.fireResistanceRating, x0))), then(obligation(greaterThanEqual(fireResistanceRating.element, x0)))",2023-02-06 22:42:30.925974000,31,"","","",
32,"2.3.11 Structural framing members connected to building elements with an FRR shall be rated at no less than the building elements to which they are connected. Alternatively their connections and supports shall be designed so that their collapse during fire will not cause collapse of the fire rated elements.","if(and(define(building.element, x0), adjoin(x0, structuralFramingMember), define(x0.fireResistanceRating, x1))), then(obligation(greaterThanEqual(structuralFramingMember.fireResistanceRating, x1)))",2023-02-06 22:42:30.925974000,32,"","","",
33,"3.1.1 All buildings shall have means of escape from fire which include escape routes. An escape route (see Figure 3.1) shall provide protection to any occupant escaping to a safe place from a fire within a building.","if(and(in(fire, building), has(building, occupant))), then(and(obligation(has(occupant, meansOfEscape)), obligation(include(meansOfEscape, escapeRoute)), obligation(to(escapeRoute, safePlace))))",2023-02-06 22:42:30.925974000,33,"","","",
34,"3.1.2 The components of an escape route, in ascending order of protection, are the: a) Open paths, and b) Exitways (these may comprise of smoke lobbies and safe paths), and c) Final exits (see Figure 3.1).","if(and(include(escapeRoute.component, and(openPath, exitway, finalExit)), define(openPath.degreeOfProtection, x0), define(exitway.degreeOfProtection, x1), define(finalExit.degreeOfProtection, x2))), then(and(obligation(lessThan(x0, x1)), obligation(lessThan(x1, x2)), greaterThan(count(escapeRoute.component), 1)))",2023-02-06 22:42:30.925974000,34,"","","",
35,"3.1.2 The components of an escape route are the: Exitways (these may comprise of smoke lobbies and safe paths).","if(is(escapeRoute.component, exitway)), then(or(obligation(is(exitway, or(smokeLobby, safePath))), obligation(is(exitway, and(smokeLobby, safePath)))))",2023-02-06 22:42:30.925974000,35,"","","",
36,"3.1.2 The components of an escape route, in ascending order of protection, are from: a) Open paths, to c) Final exits (see Figure 3.1).","if(and(define(escapeRoute.origin, x0), define(escapeRoute.destination, x1), define(x0.degreeOfProtection, x2), define(x1.degreeOfProtection, x3))), then(obligation(greaterThan(x3, x2)))",2023-02-06 22:42:30.925974000,36,"","","",
37,"3.1.3 Provided the allowable lengths of open paths (Table 3.2) are not exceeded, an escape route may comprise only an open path and final exit.","if(and(complyWith(openPath.length, table), equal(table.key, t3.2))), then(permission(include(escapeRoute.component, and(openPath, finalExit))))",2023-02-06 22:42:30.925974000,37,"","","",
38,"3.1.4 Escape routes shall comply with NZBC D1.","if(in(escapeRoute, building)), then(obligation(complyWith(escapeRoute, nzbc_d1)))",2023-02-06 22:42:30.925974000,38,"","","",
39,"Ramps, stairs, ladders, landings, handrails, doors, vision panels and openings shall comply with Acceptable Solution D1/AS1.","if(is(building.element, or(ramp, stair, ladder, landing, handrail, door, visionPanel, opening))), then(obligation(complyWith(building.element, nzbc_d1as1)))",2023-02-06 22:42:30.925974000,39,"","","",
40,"3.2.1 Except where Paragraph 3.13 allows the use of single escape routes, every occupied space in a building shall be served by two or more escape routes (see Figure 3.2).","if(and(define(count(escapeRoute), x0), greaterThan(x0, 1), complyWith(x0, rule), equal(rule.key, 3.13))), then(loop(greaterThanEqual(forEach(space.occupantLoad), 1), obligation(greaterThanEqual(count(escapeRoute), 2))))",2023-02-06 22:42:30.925974000,40,"","","",
41,"4.1.1 Adjoining firecells are required to be fire separated from each other by the highest: a) Life rating specified in Paragraph 2.3 if both firecells are under common ownership, or b) Property rating specified in Paragraph 2.3 if both firecells are under different ownership.","if(and(adjoin(space1, space2), is(space1, firecell), is(space2, firecell), define(space1.owner, x0), define(space2.owner, x1))), then(and(loop(max(fireSeparation.rating), or(and(obligation(is(fireSeparation.rating, lifeRating)), equal(x0, x1)), and(is(fireSeparation.rating, propertyRating), not(equal(x0, x1))))), asPer(lifeRating, rule), asPer(propertyRating, rule), equal(rule.key, 2.3.0)))",2023-02-06 22:42:30.925974000,41,"","","",
42,"1.0.1 This acceptable solution applies to below ground and above ground piped water supply systems.","if(is(pipedWaterSupplySystem.type, or(belowGround, aboveGround))), then(obligation(complyWith(pipedWaterSupplySystem, nzbc_g12as1)))",2023-02-06 22:42:30.925974000,42,"","","",
43,"Piped water supply systems 2.1.1 Components of the water supply system shall not contaminate potable water.","if(has(pipedWaterSupplySystem, component)), then(prohibition(not(by(potableWater.contamination, component))))",2023-02-06 22:42:30.925974000,43,"","","",
44,"Piped water supply systems 2.2.1 Pipe and pipe fitting materials shall comply with Table 1.","if(is(pipedWaterSupplySystem.component, or(pipe, pipeFitting))), then(and(obligation(complyWith(pipe.material, nzbc_g12as1_t1)), obligation(complyWith(pipeFitting.material, nzbc_g12as1_t1))))",2023-02-06 22:42:30.925974000,44,"","","",
45,"Water tanks in roof spaces shall be located and supported as detailed in Figure 4.","if(in(waterTank, roofSpace)), then(and(obligation(complyWith(waterTank.location, nzbc_g12as1_f4)), obligation(complyWith(waterTank.support, nzbc_g12as1_f4))))",2023-02-06 22:42:30.925974000,45,"","","",
46,"Piped water supply system 5.2.4 Covers; Covers shall be provided to: a) Potable water tanks to prevent contamination and the entry of vermin.","if(has(pipedWaterSupplySystem, potableWaterTank)), then(obligation(has(potableWaterTank, cover)))",2023-02-06 22:42:30.925974000,46,"","","",
47,"Piped water supply system; Covers shall be provided to: All tanks located in roof spaces to prevent condensation damaging building elements.","if(and(has(pipedWaterSupplySystem, waterTank), is(waterTank.location, roofSpace))), then(obligation(has(waterTank, cover)))",2023-02-06 22:42:30.925974000,47,"","","",
48,"Covers to water tanks shall be removable or shall contain a covered opening to allow access for inspection and maintenance. A minimum height clearance of 350 mm above the opening is necessary for easy access.","if(has(waterTank, cover)), then(or(obligation(is(cover, removable)), and(obligation(has(cover, coveredOpening)), obligation(is(coveredOpening.heightClearance, 350 mm)))))",2023-02-06 22:42:30.925974000,48,"","","",
49,"Piped water supply system; The method illustrated in Figure 4 is acceptable for water tanks up to 150 litre capacity and the maximum height to breadth ratio of 1:1.","if(and(has(pipedWaterSupplySystem, waterTank), lessThanEqual(waterTank.capacity, 150 l), lessThanEqual(waterTank.heightToBreadthRatio, 1.0))), then(complyWith(waterTankSupport, nzbc_g12as1_f4))",2023-02-06 22:42:30.925974000,49,"","","",
50,"Piped water supply system; 5.3.1 Pipe sizing; Pipes shall be sized: a) To achieve the flow rates given in Table 3, b) Using the sizes given in Table 4.","if(has(pipedWaterSupplySystem, pipe)), then(or(obligation(complyWith(pipe.flowRate, nzbc_g12as1_t3)), obligation(complyWith(pipe.size, nzbc_g12as1_t4))))",2023-02-06 22:42:30.925974000,50,"","","",
51,"5.4.3 Provision shall be made for draining storage water heaters in accordance with Figure 7.","if(is(waterHeater.type, storage)), then(obligation(complyWith(waterHeater.drain, nzbc_g12as1_f7)))",2023-02-06 22:42:30.925974000,51,"","","",
52,"6.1.1 Water heaters shall comply with Table 5.","if(is(waterHeater, true)), then(obligation(complyWith(waterHeater, nzbc_g12as1_t5)))",2023-02-06 22:42:30.925974000,52,"","","",
53,"6.2.1 Storage water heaters shall be supplied with cold water at a pressure not exceeding their working pressure by means of a: a) Water tank, b) Pressure reducing valve, c) Pressure limiting valve, or d) Mains pressure supply.","if(is(waterHeater.type, storage)), then(and(obligation(has(waterHeater, coldWaterSupply)), obligation(lessThanEqual(coldWaterSupply.pressure, workingPressure)), or(obligation(by(coldWaterSupply.workingPressure, or(waterTank, pressureReducingValve, pressureLimitingValve))), obligation(is(coldWaterSupply, mainsPressureSupply)))))",2023-02-06 22:42:30.925974000,53,"","","",
54,"6.2.2 Storage water heaters supplied by other than a water tank shall include a non-return valve as shown in Figures 7, 8, 9 and 10 to prevent the storage water heater emptying and hot water flowing into the cold water supply and thence from the cold water taps.","if(and(is(waterHeater.type, storage), has(waterHeater, waterSupply), not(is(waterSupply, waterTank)))), then(and(obligation(has(waterHeater, nonReturnValve)), obligation(complyWith(nonReturnValve, and(nzbc_g12as1_f7, nzbc_g12as1_f8, nzbc_g12as1_f9, nzbc_g12as1_f10)))))",2023-02-06 22:42:30.925974000,54,"","","",
55,"6.3.1 Electric and gas storage water heaters shall have their temperature controlled by a thermostat on each heating unit.","if(is(waterHeater.type, or(electricStorage, gasStorage))), then(and(obligation(has(waterHeater.temperature, controller)), is(controller, thermostat), loop(in(forEach(unit), waterHeater), obligation(has(unit, thermostat)))))",2023-02-06 22:42:30.925974000,55,"","","",
56,"6.3.2 Open vented storage water heaters shall have a vent pipe complying with Paragraph 6.8.","if(is(waterHeater.type, openVentedStorage)), then(and(obligation(has(waterHeater, ventPipe)), obligation(complyWith(ventPipe, 'nzbc_g12as1_6.8'))))",2023-02-06 22:42:30.925974000,56,"","","",
57,"Water heater system 6.3.3 Valve vented (unvented) systems shall have: a) An expansion control valve b) A vacuum relief valve to prevent collapse of the storage water heater where it is not designed to withstand a full vacuum, and c) Valves complying with Table 6.","if(is(waterHeaterSystem.type, or(valveVented, unvented))), then(and(obligation(has(waterHeaterSystem, expansionControlValve)), or(obligation(has(waterHeaterSystem, vacuumReliefValve)), obligation(for(waterHeaterSystem.design, fullVacuum))), obligation(complyWith(expansionControlValve, nzbc_g12as1_t6)), obligation(complyWith(vacuumReliefValve, nzbc_g12as1_t6))))",2023-02-06 22:42:30.925974000,57,"","","",
58,"6.4.2 Free outlet (push through) water heaters shall have a relief valve.","if(is(waterHeater.type, or(freeOutlet, pushThrough))), then(obligation(has(waterHeater, reliefValve)))",2023-02-06 22:42:30.925974000,58,"","","",
59,"3.4.1 Backflow protection shall be provided where it is possible for water or contaminants to backflow into the potable water supply system.","if(is(waterSupplySystem.type, potable)), then(and(obligation(has(waterSupplySystem, backflowProtection)), obligation(for(backflowProtection, or(water, contaminant)))))",2023-02-06 22:42:30.925974000,59,"","","",
60,"Water supply system 3.4.5 The selection of the appropriate backflow protection for the cross connection hazard is given in Table 2.","if(has(waterSupplySystem, crossConnectionHazard)), then(obligation(asPer(waterSupplySystem.backflowProtection, nzbc_g12as1_t2)))",2023-02-06 22:42:30.925974000,60,"","","",
61,"3.4.6 All backflow prevention devices must be testable in service to verify effective performance.","if(is(backflowProtection.status, inService)), then(obligation(is(backflowProtection, testable)))",2023-02-06 22:42:30.925974000,61,"","","",
62,"3.5.2 To ensure the air gap distance is maintained the overflow pipe discharge flow rate shall be no less than the inlet pipe flow rate.","if(and(define(overflowPipe.flowRate, x0), define(inletPipe.flowRate, x1))), then(obligation(greaterThanEqual(x0, x1)))",2023-02-06 22:42:30.925974000,62,"","","",
63,"3.5.4 Where any fixture or tank has more than one supply pipe, the air gap separation shall be the greater of 25 mm or twice the sum of the inlet pipe diameters and shall also comply with Paragraph 3.5.2.","if(or(and(has(fixture, supplyPipe), greaterThan(count(supplyPipe), 1)), and(has(tank, supplyPipe), greaterThan(count(supplyPipe), 1)))), then(and(define(inletPipes.diameterSum, x0), obligation(greaterThan(airGapSeparation, and(25 mm, '2 * x0'))), obligation(complyWith(airGapSeparation, 'nzbc_g12as_1.3.5.2'))))",2023-02-06 22:42:30.925974000,63,"","","",
64,"3.6.2 Manufacture; Backflow prevention devices shall be manufactured as follows: a) Reduced pressure zone devices to AS/NZS 2845.1 Section 12 (see Figure 2 (a)).","if(is(backflowPreventionDevice, reducedPressureZoneDevice)), then(obligation(complyWith(reducedPressureZoneDevice, nzs_2845_1_12)))",2023-02-06 22:42:30.925974000,64,"","","",
65,"3.6.2 Manufacture; Backflow prevention devices shall be manufactured as follows: Double check valve devices to AS/NZS 2845.1 Section 10 (see Figure 2 (b)).","if(is(backflowPreventionDevice, doubleCheckValveDevice)), then(obligation(complyWith(doubleCheckValveDevice, nzs_2845_1_10)))",2023-02-06 22:42:30.925974000,65,"","","",
66,"3.6.2 Manufacture; Backflow prevention devices shall be manufactured as follows: Pressure type vacuum breakers to AS/NZS 2845.1 Section 9, (see Figure 2 (c)).","if(is(backflowPreventionDevice, pressureTypeVacuumBreaker)), then(obligation(complyWith(pressureTypeVacuumBreaker, nzs_2845_1_9)))",2023-02-06 22:42:30.925974000,66,"","","",
67,"Backflow prevention devices shall be manufactured as follows: Atmospheric vacuum breakers to AS/NZS 2845.1 Section 4 for atmospheric vacuum breakers (see Figure 2 (d)).","if(is(backflowPreventionDevice, atmosphericVacuumBreaker)), then(obligation(complyWith(atmosphericVacuumBreaker, nzs_2845_1_4)))",2023-02-06 22:42:30.925974000,67,"","","",
68,"3.6.2 Manufacture; Backflow prevention devices shall be manufactured as follows: AS/NZS 2845.1 Section 5 for hose tap vacuum breakers.","if(is(backflowPreventionDevice, hoseTapVacuumBreaker)), then(obligation(complyWith(hoseTapVacuumBreaker, nzs_2845_1_5)))",2023-02-06 22:42:30.925974000,68,"","","",
69,"Piped Water Supply System 3.7.2 Reduced pressure zone devices shall be tested and verified as meeting the test requirements of AS 2845.3 or NZ backflow testing standard.","if(has(pipedWaterSupplySystem, reducedPressureZoneDevice)), then(obligation(complyWith(reducedPressureZoneDevice, or(as_2845_3, nzBackflowTestingStandard))))",2023-02-06 22:42:30.925974000,69,"","","",
70,"Piped Water Supply System 3.7.2 Double check valves shall be tested and verified as meeting the test requirements of AS 2845.3 or NZ backflow testing standard.","if(has(pipedWaterSupplySystem, doubleCheckValve)), then(obligation(complyWith(doubleCheckValve, or(as_2845_3, nzBackflowTestingStandard))))",2023-02-06 22:42:30.925974000,70,"","","",
71,"Piped Water Supply System 3.7.2 Pressure vacuum breakers shall be tested and verified as meeting the test requirements of AS 2845.3 or NZ backflow testing standard.","if(has(pipedWaterSupplySystem, pressureVacuumBreaker)), then(obligation(complyWith(pressureVacuumBreaker, or(as_2845_3, nzBackflowTestingStandard))))",2023-02-06 22:42:30.925974000,71,"","","",
72,"5.1.1 To ensure the health and safety of people in the event of the water main supply being interrupted, buildings having the classification of Community Care (e.g. hospitals, old people's homes, prisons) shall be provided with cold water storage of no less than 50 litres per person.","if(is(building.type, communityCare)), then(and(obligation(has(building, coldWaterStorage)), obligation(greaterThanEqual(coldWaterStorage.capacity, 50 l/person))))",2023-02-06 22:42:30.925974000,72,"","","",
73,"A direct connection to Fire and Emergency New Zealand is not required if automatic heat or smoke detection systems are provided in addition to the systems required by this Acceptable Solution.","if(and(is(space.fireSafetySystem, supplementary), is(fireSafetySystem.type, detection), is(detection.method, automatic), is(detection.type, or(heat, smoke)))), then(obligation(not(has(fireSafetySystem, fireServiceDirectConnection))))",2023-02-06 22:42:30.925974000,73,"","","",
74,"a) In single storey early childhood centres, dedicated sleeping areas shall be protected with supplementary smoke detectors. The alarm system and any smoke detection system shall comply with NZS 4512.","if(and(is(space.activity, earlyChildhood), equal(count(buildingStorey), 1), is(space.activity, sleeping))), then(loop(is(forEach(space.activity), sleeping), and(obligation(has(space, smokeDetector)), obligation(is(smokeDetector, supplementary)), obligation(complyWith(smokeDetector, nzs_4512)))))",2023-02-06 22:42:30.925974000,74,"","","",
75,"2.2.2 In addition to Paragraph 2.2.1, the fire safety systems required for firecells in early childhood centres shall be as follows: Where the escape height of the early childhood centre is greater than 2.0 m, a Type 7 system shall be installed throughout the building.","if(and(is(space.activity, earlyChildhood), greaterThan(space.escapeHeight, 2 m))), then(obligation(is(building.fireSafetySystem, type_7)))",2023-02-06 22:42:30.925974000,75,"","","",
76,"2.2.2 In addition to Paragraph 2.2.1, the fire safety systems required for firecells in early childhood centres shall be as follows: If the early childhood centre is not located on the ground floor at least two separate places of safety shall be provided. Each place of safety shall be separated with fire separations designed to the property rating and have direct access to a safe path or final exit.","if(and(is(space.activity, earlyChildhood), define(groundLevel.elevation, x0), greaterThan(space.elevation, x0))), then(and(obligation(greaterThanEqual(count(placeOfSafety), 2)), obligation(has(placeOfSafety, fireResistanceRating)), obligation(is(fireResistanceRating.type, propertyRating)), obligation(to(placeOfSafety.directAccess, or(safePath, finalExit)))))",2023-02-06 22:42:30.925974000,76,"","","",
