"KEY","CODE","DESCRIPTION","TEXT","TITLE","DATATYPE","PROPERTYSET",
"receptacleLoadIntensity","ReceptacleLoadIntensity","Average power use intensity of appliances and other non-HVAC equipment in the space per unit area.(PowerMeasure/IfcAreaMeasure).","receptacle load intensity","ReceptacleLoadIntensity","Real","Pset_ThermalLoad",
"totalCoolingLoad","TotalCoolingLoad","The peak total cooling load for the building, zone or space.","total cooling load","TotalCoolingLoad","Real","Pset_ThermalLoad",
"totalHeatingLoad","TotalHeatingLoad","The peak total heating load for the building, zone or space.","total heating load","TotalHeatingLoad","Real","Pset_ThermalLoad",
"agreementDate","AgreementDate","The date on which the version of the agreement became applicable.","agreement date","AgreementDate","String","Pset_PropertyAgreement",
"agreementType","AgreementType","Identifies the predefined types of property agreement from which the type required may be set.","agreement type","AgreementType","String","Pset_PropertyAgreement",
"agreementVersion","AgreementVersion","The version number of the agreement that is identified.","agreement version","AgreementVersion","String","Pset_PropertyAgreement",
"commencementDate","CommencementDate","Date on which the agreement commences.","commencement date","CommencementDate","String","Pset_PropertyAgreement",
"conditionCommencement","ConditionCommencement","Condition of property provided on commencement of the agreement e.g. cold shell, warm lit shell, broom clean, turn-key.","condition commencement","ConditionCommencement","String","Pset_PropertyAgreement",
"conditionTermination","ConditionTermination","Condition of property required on termination of the agreement e.g. cold shell, warm lit shell, broom clean, turn-key.","condition termination","ConditionTermination","String","Pset_PropertyAgreement",
"trackingIdentifier","TrackingIdentifier","The identifier assigned to the agreement for the purposes of tracking.","tracking identifier","TrackingIdentifier","String","Pset_PropertyAgreement",
"compositionType","CompositionType","Denotes, whether the predefined spatial structure element represents itself, or an aggregate (complex) or a part (part). The interpretation is given separately for each subtype of spatial structure element. If no CompositionType is asserted, the default value ''ELEMENT'' applies.\X\0D","composition type","CompositionType","String","Attributes",
"berthCargoWeight","BerthCargoWeight","Total cargo weight of berths within the facility","berth cargo weight","BerthCargoWeight","Real","Pset_MarineFacilityTransportation",
"berthGrade","BerthGrade","Berth grade","berth grade","BerthGrade","String","Pset_MarineFacilityTransportation",
"berths","Berths","Number of standard berths within the facility","berths","Berths","Integer","Pset_MarineFacilityTransportation",
"area","Area","Calculated area for the object.","area","Area","Real","Qto_MarineFacilityBaseQuantities",
"usageType","UsageType","https://github.com/buildingSMART/IFC4.3.x-development/edit/master/docs/schemas/core/IfcProductExtension/Entities/IfcFacilityPart.md#L0 has no content","usage type","UsageType","String","Attributes",
"anchorageType","AnchorageType","Mooring device anchorage type","anchorage type","AnchorageType","String","Pset_MooringDeviceCommon",
"deviceCapacity","DeviceCapacity","Mooring device force capacity","device capacity","DeviceCapacity","Real","Pset_MooringDeviceCommon",
"deviceType","DeviceType","Mooring device type","device type","DeviceType","String","Pset_MooringDeviceCommon",
"maximumLineCount","MaximumLineCount","Maximum number of lines that may be secured to the mooring device.","maximum line count","MaximumLineCount","Integer","Pset_MooringDeviceCommon",
"maximumLineSlope","MaximumLineSlope","Maximum allowable line angle in degrees (negative if below horizontal from quay)","maximum line slope","MaximumLineSlope","Real","Pset_MooringDeviceCommon",
"minumumLineSlope","MinumumLineSlope","Minimum allowable line angle in degrees (negative if below horizontal from quay)","minumum line slope","MinumumLineSlope","Real","Pset_MooringDeviceCommon",
"isMilestone","IsMilestone","Identifies whether a task is a milestone task (=TRUE) or not
    (= FALSE).NOTE  In small project planning applications, a milestone task may be understood to be a task having no duration. As such, it represents a singular point in time.","is milestone","IsMilestone","Boolean","Attributes",
"priority","Priority","A value that indicates the relative priority of the task (in
    comparison to the priorities of other tasks).","priority","Priority","Integer","Attributes",
"workMethod","WorkMethod","The method of work used in carrying out a task.","work method","WorkMethod","String","Attributes",
"workDayDuration","WorkDayDuration","The elapsed time within a worktime-based day. For presentation purposes, applications may choose to display IfcTask durations in work days where IfcTaskTime.DurationType=WORKTIME. This value must be less than or equal to 24 hours (an elapsed day); if omitted then 8 hours is assumed.","work day duration","WorkDayDuration","String","Pset_WorkControlCommon",
"workMonthDuration","WorkMonthDuration","The elapsed time within a worktime-based month. For presentation purposes, applications may choose to display IfcTask durations in work months where IfcTaskTime.DurationType=WORKTIME. This value must be less than or equal to 744 hours (an elapsed month of 31 days); if omitted then 160 hours is assumed.","work month duration","WorkMonthDuration","String","Pset_WorkControlCommon",
"workStartTime","WorkStartTime","The default time of day a task is scheduled to start. For presentation purposes, if the start time of a task matches the WorkStartTime, then applications may choose to display the date only. Conversely when entering dates without specifying time, applications may automatically append the WorkStartTime.","work start time","WorkStartTime","String","Pset_WorkControlCommon",
"workWeekDuration","WorkWeekDuration","The elapsed time within a worktime-based week. For presentation purposes, applications may choose to display IfcTask durations in work weeks where IfcTaskTime.DurationType=WORKTIME. This value must be less than or equal to 168 hours (an elapsed week); if omitted then 40 hours is assumed.","work week duration","WorkWeekDuration","String","Pset_WorkControlCommon",
"creationDate","CreationDate","The date that the plan is created.","creation date","CreationDate","String","Attributes",
"workFinishTime","WorkFinishTime","The default time of day a task is scheduled to finish. For presentation purposes, if the finish time of a task matches the WorkFinishTime, then applications may choose to display the date only. Conversely when entering dates without specifying time, applications may automatically append the WorkFinishTime.","work finish time","WorkFinishTime","String","Pset_WorkControlCommon",
"finishTime","FinishTime","The finish time of the schedule.","finish time","FinishTime","String","Attributes",
"startTime","StartTime","The start time of the schedule.","start time","StartTime","String","Attributes",
"totalFloat","TotalFloat","The total time float of the entire work schedule.","total float","TotalFloat","String","Attributes",
"lrmconstraint","LRMConstraint","Allows for the specification of constraints imposed by this Linear Referencing Method. For example, a Reference Post Linear Referencing Method may specify that referents be of type “reference marker”.NOTE definition according to ISO 19148:2021","lrmconstraint","LRMConstraint","String","Pset_LinearReferencingMethod",
"lrmname","LRMName","Gives the name of this Linear Referencing Method, such as “kilometre-point”.NOTE Definition according to ISO 19148:2021.
NOTE Names of commonly used Linear Referencing Methods are included in ISO 19148, Annex C, along with recognized name aliases.","lrmname","LRMName","String","Pset_LinearReferencingMethod",
"lrmtype","LRMType","Gives the type of this Linear Referencing Method.NOTE Definition according to ISO 19148:2021, LRMType.
NOTE Since the definition in ISO 19148:2021, LRMType is stereotyped as a CodeList it is open for user defined extensions. In this Pset this is handled by adding the enumeration constant LRM_USERDEFINED and the additional property UserDefinedLRMType","lrmtype","LRMType","String","Pset_LinearReferencingMethod",
"lrmunit","LRMUnit","Specifies the units of measure used by this Linear Referencing Method for measures along the linear element being measured.NOTE Definition according to ISO 19148:2021.","lrmunit","LRMUnit","String","Pset_LinearReferencingMethod",
"userDefinedLrmtype","UserDefinedLRMType","Gives the user defined type of this Linear Referencing Method when property LRMType is LRM_USERDEFINED.","user defined lrmtype","UserDefinedLRMType","String","Pset_LinearReferencingMethod",
"railHeadDistance","RailHeadDistance","Length measured as distance between the nominal centre points of the two contact patches of a wheelset and rails.","rail head distance","RailHeadDistance","Real","Attributes",
"cantDeficiency","CantDeficiency","Difference between applied cant and a higher equilibrium cant.","cant deficiency","CantDeficiency","Real","Pset_AlignmentCantSegmentCommon",
"cantEquilibrium","CantEquilibrium","Cant at a particular speed at which the vehicle will have a resultant force perpendicular to the running plane.","cant equilibrium","CantEquilibrium","Real","Pset_AlignmentCantSegmentCommon",
"endSmoothingLength","EndSmoothingLength","Length for the circular transition change of curvature at the end of the cant segment, measured from the start of the circular transition change of curvature to the end of the cant segment.","end smoothing length","EndSmoothingLength","Real","Pset_AlignmentCantSegmentCommon",
"startSmoothingLength","StartSmoothingLength","Length for the circular transition change of curvature at the start of the cant segment, measured from the start of the cant segment to the end of the circular transition change of curvature.","start smoothing length","StartSmoothingLength","Real","Pset_AlignmentCantSegmentCommon",
"endElevation","EndElevation","Elevation of the end point relative to the mean sea level.","end elevation","EndElevation","Real","Pset_AlignmentVerticalSegmentCommon",
"startElevation","StartElevation","Elevation of the start point relative to the mean sea level.","start elevation","StartElevation","Real","Pset_AlignmentVerticalSegmentCommon",
"contourValue","ContourValue","Value of the elevation of the contour above or below a reference plane.","contour value","ContourValue","Real","Pset_AnnotationContourLine",
"roadVisibleDistanceLeft","RoadVisibleDistanceLeft","Distance visible to the left of the access.","road visible distance left","RoadVisibleDistanceLeft","Real","Pset_AnnotationLineOfSight",
"roadVisibleDistanceRight","RoadVisibleDistanceRight","Distance visible to the right of the access.","road visible distance right","RoadVisibleDistanceRight","Real","Pset_AnnotationLineOfSight",
"setbackDistance","SetbackDistance","Setback distance from the point of connection on the major element along the axis of the minor element (e.g. distance from a public road at which the line of sigfht is measured.","setback distance","SetbackDistance","Real","Pset_AnnotationLineOfSight",
"visibleAngleLeft","VisibleAngleLeft","Angle of visibility to the left of the access.","visible angle left","VisibleAngleLeft","Real","Pset_AnnotationLineOfSight",
"visibleAngleRight","VisibleAngleRight","Angle of visibility to the right of the access.","visible angle right","VisibleAngleRight","Real","Pset_AnnotationLineOfSight",
"accuracyQualityExpected","AccuracyQualityExpected","A measure of the accuracy quality of survey points as expected expressed in percentage terms.","accuracy quality expected","AccuracyQualityExpected","Real","Pset_AnnotationSurveyArea",
"accuracyQualityObtained","AccuracyQualityObtained","A measure of the accuracy quality of survey points as obtained expressed in percentage terms.","accuracy quality obtained","AccuracyQualityObtained","Real","Pset_AnnotationSurveyArea",
"acquisitionMethod","AcquisitionMethod","The means by which survey data was acquired.","acquisition method","AcquisitionMethod","String","Pset_AnnotationSurveyArea",
"soundScale","SoundScale","The reference sound scale.DBA: Decibels in an A-weighted scale
DBB: Decibels in an B-weighted scale
DBC: Decibels in an C-weighted scale
NC: Noise criteria
NR: Noise rating","sound scale","SoundScale","String","Pset_SoundAttenuation",
"structureIndicator","StructureIndicator","Structure Indicator","structure indicator","StructureIndicator","String","Pset_BridgeCommon",
"buildingId","BuildingID","A unique identifier assigned to a building. A temporary identifier is initially assigned at the time of making a planning application. This temporary identifier is changed to a permanent identifier when the building is registered into a statutory buildings and properties database.","building id","BuildingID","String","Pset_BuildingCommon",
"constructionMethod","ConstructionMethod","The type of construction action to the object, e.g. new construction, renovation, refurbishment, etc.","construction method","ConstructionMethod","String","Pset_BuildingCommon",
"fireProtectionClass","FireProtectionClass","Main fire protection class for the building which is assigned from the fire protection classification table as given by the relevant national building code.","fire protection class","FireProtectionClass","String","Pset_BuildingCommon",
"isLandmarked","IsLandmarked","This builing is listed as a historic building (TRUE), or not (FALSE), or unknown.","is landmarked","IsLandmarked","String","Pset_BuildingCommon",
"isPermanentId","IsPermanentID","Indicates whether the identity assigned to the object is permanent (= TRUE) or temporary (=FALSE).","is permanent id","IsPermanentID","Boolean","Pset_BuildingCommon",
"numberOfStoreys","NumberOfStoreys","The number of storeys within a building.
Captured for those cases where the IfcBuildingStorey entity is not used. Note that if IfcBuilingStorey is asserted and the number of storeys in a building can be determined from it, then this approach should be used in preference to setting a property for the number of storeys.","number of storeys","NumberOfStoreys","Integer","Pset_BuildingCommon",
"yearOfConstruction","YearOfConstruction","Year of construction of this building, including expected year of completion.","year of construction","YearOfConstruction","String","Pset_BuildingCommon",
"yearOfLastRefurbishment","YearOfLastRefurbishment","Year of last major refurbishment, or reconstruction, of the building (applies to reconstruction works).","year of last refurbishment","YearOfLastRefurbishment","String","Pset_BuildingCommon",
"marketCategory","MarketCategory","Category of use e.g. residential, commercial, recreation etc.","market category","MarketCategory","String","Pset_BuildingUse",
"marketSubCategory","MarketSubCategory","Subset of category of use e.g. multi-family, 2 bedroom, low rise.","market sub category","MarketSubCategory","String","Pset_BuildingUse",
"narrativeText","NarrativeText","Added information relating to the adjacent building use that is not appropriate to the general descriptive text associated with an entity through the inherited IfcRoot.Description.","narrative text","NarrativeText","String","Pset_BuildingUse",
"planningControlStatus","PlanningControlStatus","Label of zoning category or class, or planning control category for the site or facility.","planning control status","PlanningControlStatus","String","Pset_BuildingUse",
"vacancyRateInCategoryFuture","VacancyRateInCategoryFuture","Percentage of vacancy found in the particular category expected in the future.","vacancy rate in category future","VacancyRateInCategoryFuture","Real","Pset_BuildingUse",
"vacancyRateInCategoryNow","VacancyRateInCategoryNow","Percentage of vacancy found in the particular category currently.","vacancy rate in category now","VacancyRateInCategoryNow","Real","Pset_BuildingUse",
"eavesHeight","EavesHeight","Standard net height of this storey, from the top surface of the construction floor, to the bottom surface of the construction floor or roof above. Only provided is there is a constant height.","eaves height","EavesHeight","Real","Qto_BuildingBaseQuantities",
"grossFloorArea","GrossFloorArea","Sum of all gross floor areas covered by the spaces within the spatial structure element.","gross floor area","GrossFloorArea","Real","Qto_BuildingBaseQuantities",
"netFloorArea","NetFloorArea","Sum of all net usable floor areas.","net floor area","NetFloorArea","Real","Qto_BuildingBaseQuantities",
"buildingThermalExposure","BuildingThermalExposure","The thermal exposure expected by the building based on surrounding site conditions.","building thermal exposure","BuildingThermalExposure","String","Pset_OutsideDesignCriteria",
"coolingDesignDay","CoolingDesignDay","The month, day  and time that has been selected for the cooling design calculations.","cooling design day","CoolingDesignDay","String","Pset_OutsideDesignCriteria",
"coolingWetBulb","CoolingWetBulb","Outside wet bulb temperature for cooling design.","cooling wet bulb","CoolingWetBulb","Real","Pset_OutsideDesignCriteria",
"heatingDesignDay","HeatingDesignDay","The month, day and time that has been selected for the heating design calculations.","heating design day","HeatingDesignDay","String","Pset_OutsideDesignCriteria",
"heatingWetBulb","HeatingWetBulb","Outside wet bulb temperature for heating design.","heating wet bulb","HeatingWetBulb","Real","Pset_OutsideDesignCriteria",
"prevailingWindDirection","PrevailingWindDirection","The prevailing wind angle direction measured from True North (0 degrees) in a clockwise direction.","prevailing wind direction","PrevailingWindDirection","Real","Pset_OutsideDesignCriteria",
"prevailingWindVelocity","PrevailingWindVelocity","The design wind velocity coming from the direction specified by the PrevailingWindDirection attribute.","prevailing wind velocity","PrevailingWindVelocity","Real","Pset_OutsideDesignCriteria",
"elevationOfSslrelative","ElevationOfSSLRelative","Elevation of the top surface of the structural slab level given in elevation above the local zero height. If the level varies and there is no significantly more prominent elevation, then this property may be omitted. In case of any inconsistency with the geometric positioning of the top surface, the geometric representation takes precedence.","elevation of sslrelative","ElevationOfSSLRelative","Real","Pset_BuildingStoreyCommon",
"entranceLevel","EntranceLevel","Indication whether this building storey is an entrance level to the building (TRUE), or (FALSE) if otherwise.","entrance level","EntranceLevel","Boolean","Pset_BuildingStoreyCommon",
"loadBearingCapacity","LoadBearingCapacity","Maximum load bearing capacity of the floor structure throughtout the storey as designed.","load bearing capacity","LoadBearingCapacity","Real","Pset_BuildingStoreyCommon",
"grossHeight","GrossHeight","Standard gross height of this storey, from the top surface of the construction floor, to the top surface of the construction floor or roof above. Only provided is there is a constant height.","gross height","GrossHeight","Real","Qto_BuildingStoreyBaseQuantities",
"grossPerimeter","GrossPerimeter","Gross perimeter at the outer contour of the object.","gross perimeter","GrossPerimeter","Real","Qto_BuildingStoreyBaseQuantities",
"netHeight","NetHeight","Standard net height of this storey, from the top surface of the construction floor, to the bottom surface of the construction floor or roof above. Only provided is there is a constant height.","net height","NetHeight","Real","Qto_BuildingStoreyBaseQuantities",
"elevation","Elevation","Elevation of the entity","elevation","Elevation","Real","Attributes",
"weatherDataDate","WeatherDataDate","The date for which the weather data was gathered.","weather data date","WeatherDataDate","String","Pset_OutsideDesignCriteria",
"weatherDataStation","WeatherDataStation","The site weather data station description or reference to the data source from which weather data was obtained for use in calculations.","weather data station","WeatherDataStation","String","Pset_OutsideDesignCriteria",
"elevationOfRefHeight","ElevationOfRefHeight","Elevation above sea level of the reference height used for all storey elevation measures, equals to height 0.0. It is usually the ground floor level.IFC4.3.0.0 DEPRECATION This attribute is deprecated and shall no longer be used.","elevation of ref height","ElevationOfRefHeight","Real","Attributes",
"elevationOfTerrain","ElevationOfTerrain","Elevation above the minimal terrain level around the foot print of the building, given in elevation above sea level.IFC4.3.0.0 DEPRECATION This attribute is deprecated and shall no longer be used.","elevation of terrain","ElevationOfTerrain","Real","Attributes",
"aboveGround","AboveGround","Indication whether this building storey is fully above ground (TRUE), or below ground (FALSE), or partially above and below ground (UNKNOWN) - as in sloped terrain.","above ground","AboveGround","String","Pset_BuildingStoreyCommon",
"elevationOfFflrelative","ElevationOfFFLRelative","Elevation of the top surface of the finished floor level given in elevation above the local zero height. If the level varies and there is no significantly more prominent elevation, then this property may be omitted. In case of any inconsistency with the geometric positioning of the top surface, the geometric representation takes precedence.","elevation of fflrelative","ElevationOfFFLRelative","Real","Pset_BuildingStoreyCommon",
"processCapacity","ProcessCapacity","The number of units that can be processed in the time defined in ProcessPerformance","process capacity","ProcessCapacity","Integer","Pset_ProcessCapacity",
"processItem","ProcessItem","The type of item (and its measurement method) being modelled within a process. This can be cargo, passengers or vehicles that pass through the system.","process item","ProcessItem","String","Pset_ProcessCapacity",
"processPerformance","ProcessPerformance","Minimum time to accept or dispatch the entire item capacity.","process performance","ProcessPerformance","String","Pset_ProcessCapacity",
"castingMethod","CastingMethod","The method of casting the concrete into its designed form.","casting method","CastingMethod","String","Pset_ConcreteElementGeneral",
"concreteCover","ConcreteCover","The protective concrete cover at the reinforcing bars according to local building regulations.","concrete cover","ConcreteCover","Real","Pset_ConcreteElementGeneral",
"concreteCoverAtLinks","ConcreteCoverAtLinks","The protective concrete cover at the reinforcement links according to local building regulations.","concrete cover at links","ConcreteCoverAtLinks","Real","Pset_ConcreteElementGeneral",
"concreteCoverAtMainBars","ConcreteCoverAtMainBars","The protective concrete cover at the main reinforcing bars according to local building regulations.","concrete cover at main bars","ConcreteCoverAtMainBars","Real","Pset_ConcreteElementGeneral",
"constructionToleranceClass","ConstructionToleranceClass","Classification designation of the on-site construction tolerances according to local standards.","construction tolerance class","ConstructionToleranceClass","String","Pset_ConcreteElementGeneral",
"dimensionalAccuracyClass","DimensionalAccuracyClass","Classification designation of the dimensional accuracy requirement according to local standards.","dimensional accuracy class","DimensionalAccuracyClass","String","Pset_ConcreteElementGeneral",
"exposureClass","ExposureClass","Classification of exposure to environmental conditions, usually specified in accordance with the concrete design code which is applied in the project.","exposure class","ExposureClass","String","Pset_ConcreteElementGeneral",
"reinforcementAreaRatio","ReinforcementAreaRatio","The required ratio of the effective area of the reinforcement to the effective area of the concrete At any section of a reinforced concrete structural element.","reinforcement area ratio","ReinforcementAreaRatio","Real","Pset_ConcreteElementGeneral",
"reinforcementStrengthClass","ReinforcementStrengthClass","Classification of the reinforcement strength in accordance with the concrete design code which is applied in the project. The reinforcing strength class often combines strength and ductility.","reinforcement strength class","ReinforcementStrengthClass","String","Pset_ConcreteElementGeneral",
"thermalEfficiency","ThermalEfficiency","Overall Thermal Efficiency is defined as gross energy output of the heat transfer device divided by the energy input.","thermal efficiency","ThermalEfficiency","Real","Pset_SpaceHeaterTypeCommon",
"thermalMassHeatCapacity","ThermalMassHeatCapacity","Product of component mass and specific heat.","thermal mass heat capacity","ThermalMassHeatCapacity","Real","Pset_SpaceHeaterTypeCommon",
"spaceHeaterPlacement","SpaceHeaterPlacement","Indicates how the space heater is designed to be placed.","space heater placement","SpaceHeaterPlacement","String","Pset_SpaceHeaterTypeCommon",
"temperatureClassification","TemperatureClassification","Enumeration defining the temperature classification of the space heater surface temperature.
low temperature - surface temperature is relatively low, usually heated by hot water or electricity.
high temperature - surface temperature is relatively high, usually heated by gas or steam.","temperature classification","TemperatureClassification","String","Pset_SpaceHeaterTypeCommon",
"hasLadder","HasLadder","Indication of whether the tank is provided with a ladder (set TRUE) for access to the top. If no ladder is provided then value is set FALSE.Note: No indication is given of the type of ladder (gooseneck etc.)","has ladder","HasLadder","Boolean","Pset_TankOccurrence",
"hasVisualIndicator","HasVisualIndicator","Indication of whether the tank is provided with a visual indicator (set TRUE) that shows the water level in the tank. If no visual indicator is provided then value is set FALSE.","has visual indicator","HasVisualIndicator","Boolean","Pset_TankOccurrence",
"tankComposition","TankComposition","Defines the level of element composition where.COMPLEX: A set of elementary units aggregated together to fulfill the overall  required purpose.
ELEMENT: A single elementary unit that may exist of itself or as an aggregation of partial units..
PARTIAL: A partial elementary unit.","tank composition","TankComposition","String","Pset_TankOccurrence",
"accessType","AccessType","Defines the types of access (or cover) to a tank that may be specified.Note that covers are generally specified for rectangular tanks. For cylindrical tanks, access will normally be via a manhole.","access type","AccessType","String","Pset_TankTypeCommon",
"effectiveCapacity","EffectiveCapacity","The total effective or actual volumetric capacity of the tank.","effective capacity","EffectiveCapacity","Real","Pset_TankTypeCommon",
"endShapeType","EndShapeType","Defines the types of end shapes that can be used for preformed tanks. The convention for reading these enumerated values is that for a vertical cylinder, the first value is the base and the second is the top; for a horizontal cylinder, the order of reading should be left to right. For a speherical tank, the value UNSET should be used.","end shape type","EndShapeType","String","Pset_TankTypeCommon",
"firstCurvatureRadius","FirstCurvatureRadius","FirstCurvatureRadius should be defined as the base or left side radius of curvature value.","first curvature radius","FirstCurvatureRadius","Real","Pset_TankTypeCommon",
"nominalDepth","NominalDepth","Nominal Depth of the object","nominal depth","NominalDepth","Real","Pset_TankTypeCommon",
"nominalLengthOrDiameter","NominalLengthOrDiameter","The nominal length or, in the case of a vertical cylindrical tank, the nominal diameter of the tank.","nominal length or diameter","NominalLengthOrDiameter","Real","Pset_TankTypeCommon",
"nominalWidthOrDiameter","NominalWidthOrDiameter","The nominal width or, in the case of a horizontal cylindrical tank, the nominal diameter of the tank.Note: Not required for a vertical cylindrical tank.","nominal width or diameter","NominalWidthOrDiameter","Real","Pset_TankTypeCommon",
"operatingWeight","OperatingWeight","Operating weight of the tank including all of its contents.","operating weight","OperatingWeight","Real","Pset_TankTypeCommon",
